;PID;county;state;area;poptotal;popdensity;popwhite;popblack;popamerindian;popasian;popother;percwhite;percblack;percamerindan;percasian;percother;popadults;perchsd;percollege;percprof;poppovertyknown;percpovertyknown;percbelowpoverty;percchildbelowpovert;percadultpoverty;percelderlypoverty;inmetro;category
39;599;JACKSON;IL;0.036;61067;169.630.556;51991;6342;109;2178;447;851.376.357;103.853.145;0.17849248;356.657.442;0.7319829;32172;78.767.251;366.436.653;140.898.918;54230;888.041.004;2.837.175;263.922.105;324.584.833;138.153.008;0;AHR
40;600;JASPER;IL;0.029;10609;365.827.586;10574;1;11;17;6;996.700.914;0.00942596;0.10368555;0.1602413;0.05655575;6835;697.000.732;150.256.035;276.517.922;10511;99.076.256;131.005.613;174.379.611;100.076.104;145.622.525;0;AAR
41;601;JEFFERSON;IL;0.033;37020;112.181.818;34856;1924;56;129;55;941.545.111;519.719.071;0.15126958;0.34846029;0.14856834;24023;699.038.422;183.698.955;367.980.685;36495;985.818.476;160.569.941;211.134.991;136.358.867;15.631.524;0;AAR
42;602;JERSEY;IL;0.023;20539;893;20346;96;43;32;22;990.603.243;0.46740348;0.20935781;0.15580116;0.1071133;12847;719.156.223;147.583.093;313.691.913;19611;954.817.664;974.453.113;118.255.728;88.343.212;929.971.989;1;AAU
43;603;JO DAVIESS;IL;0.035;21821;623.457.143;21732;14;20;29;26;99.592.136;0.06415838;0.09165483;0.1328995;0.11915128;14409;74.092.581;164.133.528;34.284.128;21610;990.330.416;828.782.971;929.164.459;628.398.253;118.393.235;0;AAR
44;604;JOHNSON;IL;0.02;11347;567.35;10230;1046;26;14;31;901.559.884;921.829.558;0.22913545;0.12338063;0.27319996;7922;661.701.591;143.524.363;343.347.639;9180;809.024.412;155.555.556;185.350.603;122.665.006;198.775.318;0;LAR
45;605;KANE;IL;0.029;317471;109.472.759;269675;19006;620;4474;23696;849.447.666;598.668.855;0.19529343;140.926.258;746.398.884;191807;777.192.699;275.938.834;701.329.983;310740;978.798.063;684.655.982;959.040.311;555.167.946;631.380.264;1;ALU
46;606;KANKAKEE;IL;0.039;96255;246.807.692;80194;14399;150;644;868;833.141.136;149.592.229;0.15583606;0.66905615;0.90177134;59821;730.863.744;176.409.622;399.023.754;92594;961.965.612;132.967.579;195.983.276;10.888.062;102.479.647;1;AAU
47;607;KENDALL;IL;0.018;39413;218.961.111;38019;210;73;224;887;964.630.959;0.53281912;0.18521808;0.5683404;225.052.648;24175;836.773.526;248.893.485;525.336.091;39199;994.570.319;338.529.044;442.017.237;235.504.872;587.851.078;1;HLU
48;608;KNOX;IL;0.042;56393;134.269.048;52413;2860;85;320;715;929.423.865;507.155.143;0.15072793;0.56744631;126.788.786;37723;765.660.207;193.436.365;421.228.428;53106;941.712.624;138.684.894;196.733.764;128.831.741;973.871.734;0;AAR
49;609;LAKE;IL;0.028;516418;18443.5;450666;34771;1198;12588;17195;872.676.785;673.311.155;0.23198262;243.756.027;332.966.705;318475;847.269.016;378.340.529;114.640.082;495312;959.130.007;515.977.808;676.712.484;419.193.902;616.443.033;1;HLU
50;610;LA SALLE;IL;0.068;106913;1572.25;103805;1153;206;523;1226;970.929.634;107.844.696;0.19268003;0.48918279;114.672.678;70357;73.127.052;168.995.267;343.817.957;104473;977.177.705;111.014.329;152.417.866;921.209.673;106.971.468;0;AAR
51;611;LAWRENCE;IL;0.022;15972;726;15759;151;31;21;10;986.664.162;0.94540446;0.19408966;0.13148009;0.06260957;10950;692.328.767;145.388.128;194.520.548;15347;960.869.021;198.475.272;311.128.734;167.597.057;148.832.156;0;AHR
52;612;LEE;IL;0.043;34392;799.813.953;32530;1222;84;181;375;945.859.502;35.531.519;0.24424285;0.52628518;109.036.985;22661;762.808.349;18.476.678;404.218.702;32162;935.159.339;88.240.781;105.378.832;771.542.507;95.268.748;0;AAR
53;613;LIVINGSTON;IL;0.062;39301;633.887.097;36551;2115;62;131;442;930.027.226;538.154.245;0.1577568;0.33332485;112.465.332;26084;741.450.698;145.031.437;294.816.746;35431;901.529.223;932.516.723;137.011.589;802.005.013;677.040.677;0;AAR
54;614;LOGAN;IL;0.036;30798;855.5;29223;1291;37;143;104;948.860.316;419.183.064;0.12013767;0.46431586;0.33768427;20324;759.004.133;179.492.226;379.846.487;28104;912.526.787;107.813.834;128.258.458;996.479.107;103.613.632;0;AAR
55;615;MCDONOUGH;IL;0.034;35244;103.658.824;32992;1254;65;802;131;936.102.599;355.805.243;0.18442856;227.556.464;0.37169447;18784;80.302.385;279.280.239;103.598.807;28821;817.756.214;190.520.801;160.093.168;224.033.816;128.843.841;0;HHR
56;616;MCHENRY;IL;0.036;183241;509.002.778;178895;310;299;1293;2444;976.282.601;0.16917611;0.16317309;0.70562811;133.376.264;114721;845.076.316;280.541.488;641.730.808;181636;991.241.043;349.159.858;406.964.667;287.024.568;50.644.731;1;HLU
57;617;MCLEAN;IL;0.068;129180;189.970.588;121057;5563;203;1624;733;937.118.749;430.639.418;0.15714507;125.716.055;0.5674253;72957;84.671.793;338.185.507;900.393.382;117663;910.845.332;118.754.409;100.105.088;13.715.404;72.666.025;1;HAU
58;618;MACON;IL;0.035;117206;334.874.286;102197;14135;157;506;211;871.943.416;120.599.628;0.13395219;0.43171851;0.18002491;76297;762.113.845;198.618.556;498.446.859;114042;973.004.795;127.417.969;192.574.786;109.095.835;898.486.907;1;AAU
59;619;MACOUPIN;IL;0.05;47679;953.58;47077;379;94;88;41;987.373.896;0.79489922;0.19715179;0.18456763;0.08599174;31217;728.192.972;140.083.929;32.546.369;46387;972.902.116;132.127.536;185.988.943;108.171.077;12.460.907;0;AAR
60;620;MADISON;IL;0.045;249238;553.862.222;230217;16136;683;1420;782;923.683.387;647.413.316;0.27403526;0.56973656;0.31375633;161517;758.143.106;196.994.744;494.932.422;245370;984.480.697;113.387.945;166.709.192;990.305.061;829.181.097;1;AAU
61;621;MARION;IL;0.035;41561;118.745.714;39647;1519;106;232;57;95.394.721;365.486.875;0.2550468;0.55821563;0.13714781;27077;701.259.371;164.493.851;331.277.468;40800;981.689.565;163.676.471;223.493.101;139.285.714;147.224.835;0;AAR
62;622;MARSHALL;IL;0.023;12846;558.521.739;12752;17;30;28;19;992.682.547;0.13233691;0.23353573;0.21796668;0.14790596;8600;777.790.698;175.348.837;256.976.744;12563;977.969.796;938.470.111;114.717.933;750.307.503;113.305.613;0;AAR
63;623;MASON;IL;0.033;16269;493;16180;8;27;38;16;994.529.473;0.04917327;0.1659598;0.23357305;0.09834655;10729;725.789.915;135.054.525;28.986.858;16025;985.002.151;155.070.203;241.131.352;128.400.955;116.038.007;0;AAR
64;624;MASSAC;IL;0.014;14752;105.371.429;13804;870;37;31;10;935.737.527;589.750.542;0.25081345;0.210141;0.06778742;10068;653.059.197;14.034.565;293.007.549;14348;972.613.883;167.410.092;229.808.251;149.682.372;143.283.582;0;LAR
65;625;MENARD;IL;0.018;11164;620.222.222;11101;9;29;14;11;994.356.861;0.08061627;0.25976353;0.12540308;0.09853099;7390;773.071.719;18.511.502;351.826.793;10964;982.085.274;955.855.527;124.503.311;789.163.722;101.449.275;1;AAU
66;626;MERCER;IL;0.033;17290;523.939.394;17155;30;33;35;37;992.192.019;0.1735107;0.19086177;0.20242915;0.21399653;11357;773.531.743;164.744.211;311.702.034;17006;98.357.432;101.317.182;114.663.727;901.086.957;114.338.123;0;AAR
67;627;MONROE;IL;0.023;22422;974.869.565;22262;13;53;57;37;992.864.151;0.05797877;0.23637499;0.25421461;0.1650165;14613;758.639.568;199.206.186;331.896.257;22071;984.345.732;481.174.392;477.462.437;421.197.857;683.692.471;1;ALU
68;628;MONTGOMERY;IL;0.041;30728;749.463.415;29956;559;49;66;98;974.876.334;181.918.771;0.15946368;0.21478782;0.31892736;20386;721.917.002;11.723.732;25.262.435;29003;943.862.275;140.295.831;177.958.446;122.912.264;134.700.076;0;AAR
69;629;MORGAN;IL;0.033;36397;110.293.939;34561;1510;48;130;148;949.556.282;414.869.357;0.131879;0.35717229;0.40662692;23605;759.034.103;207.244.228;565.981.784;33746;927.164.327;111.954.009;123.290.901;101.418.555;126.183.885;0;AAR
70;630;MOULTRIE;IL;0.021;13930;663.333.333;13884;8;22;13;3;996.697.775;0.05743001;0.15793252;0.09332376;0.02153625;9282;702.865.762;157.185.951;299.504.417;13356;95.879.397;113.432.165;152.669.633;910.269.336;11.856.585;0;AAR
71;631;OGLE;IL;0.045;45957;102.126.667;44895;66;87;136;773;976.891.442;0.14361251;0.1893074;0.2959288;168.200.709;29575;77.602.705;187.793.745;347.252.747;45229;984.159.105;724.535.143;854.618.474;626.131.745;828.708.375;1;ALU
72;632;PEORIA;IL;0.038;182827;481.123.684;154298;24892;312;2225;1100;843.956.308;136.150.569;0.17065313;121.699.749;0.60166168;115963;779.326.164;25.838.414;659.003.303;176647;966.197.553;145.278.437;218.711.768;124.275.854;103.180.428;1;AAU
73;633;PERRY;IL;0.026;21412;823.538.462;20901;399;26;63;23;976.134.878;186.344.106;0.12142724;0.29422754;0.1074164;13921;67.839.954;135.622.441;220.530.134;21090;984.961.704;158.368.895;208.596.713;133.475.898;158.660.508;0;LAR
74;634;PIATT;IL;0.025;15548;621.92;15508;8;16;11;5;997.427.322;0.05145356;0.10290713;0.07074865;0.03215848;10458;82.950.851;22.011.857;519.219.736;15315;98.501.415;613.124.388;706.766.917;461.225.953;916.779.432;0;HLR
75;635;PIKE;IL;0.049;17577;358.714.286;17499;8;24;32;14;995.562.383;0.04551402;0.13654207;0.1820561;0.07964954;11820;69.856.176;121.742.809;230.964.467;17365;987.938.784;179.326.231;233.325.587;150.834.773;182.773.589;0;AHR
76;636;POPE;IL;0.022;4373;198.772.727;4072;266;15;6;14;931.168.534;60.827.807;0.34301395;0.13720558;0.32014635;2821;651.542.006;142.502.659;248.138.958;4160;951.292.019;251.682.692;364.729.459;244.148.692;153.611.394;0;LHR
77;637;PULASKI;IL;0.011;7523;683.909.091;5032;2466;8;7;10;668.882.095;327.794.763;0.10634056;0.09304799;0.13292569;4816;597.799.003;143.687.708;220.099.668;7441;989.100.093;30.184.115;400.374.181;23.867.741;311.619.718;0;LHR
78;638;PUTNAM;IL;0.01;5730;573;5616;9;7;7;91;980.104.712;0.15706806;0.12216405;0.12216405;158.813.264;3783;758.128.469;165.212.794;343.642.612;5722;998.603.839;754.980.776;104.780.616;622.734.761;715.517.241;0;AAR
79;639;RANDOLPH;IL;0.036;34583;960.638.889;31532;2852;54;83;62;911.777.463;824.682.648;0.15614608;0.24000231;0.17927884;22847;642.228.739;127.412.789;295.881.297;30685;887.285.661;110.021.183;142.925.089;899.560.578;11.678.487;0;LAR
80;640;RICHLAND;IL;0.022;16545;752.045.455;16442;17;24;43;19;993.774.554;0.10275008;0.14505893;0.25989725;0.11483832;10917;734.908.858;215.077.402;362.737.016;16228;980.840.133;139.758.442;186.600.613;120.681.606;1.294.943;0;AAR
81;641;ROCK ISLAND;IL;0.028;148723;531.153.571;133428;10488;354;1017;3436;897.157.803;705.203.634;0.2380264;0.6838216;231.033.532;96715;773.747.609;213.007.289;449.775.112;144662;972.694.203;131.845.267;19.375;117.520.934;905.748.897;1;AAU
82;642;ST CLAIR;IL;0.04;262852;6571.3;187866;71275;585;2007;1119;714.721.592;271.160.197;0.2225587;0.76354755;0.42571485;162550;725.868.963;21.184.251;538.911.104;257438;979.402.858;1.743.177;267.291.879;142.654.008;118.686.334;1;AAU
83;643;SALINE;IL;0.022;26551;120.686.364;25452;931;66;40;62;958.607.962;350.645.927;0.24857821;0.15065346;0.23351286;18020;632.241.953;154.883.463;363.485.017;25545;962.110.655;20.183.989;266.991.079;186.944.068;168.465.816;0;LHR
84;644;SANGAMON;IL;0.051;178386;349.776.471;162013;14364;290;1377;342;908.215.891;805.220.141;0.16256881;0.77192156;0.19171908;117686;817.709.838;289.881.549;8.169.196;175796;985.480.923;988.816.583;137.008.576;821.267.648;976.442.912;1;HAU
85;645;SCHUYLER;IL;0.026;7498;288.384.615;7479;2;9;6;2;997.465.991;0.02667378;0.12003201;0.08002134;0.02667378;5090;69.410.609;146.365.422;275.049.116;7365;982.261.937;16.496.945;219.134.153;136.461.126;167.800.454;0;AAR
86;646;SCOTT;IL;0.015;5644;376.266.667;5634;1;6;3;0;998.228.207;0.01771793;0.10630758;0.05315379;0;3732;736.066.452;130.760.986;225.080.386;5578;988.306.166;115.274.292;142.564.802;937.067.773;133.606.557;0;AAR
87;647;SHELBY;IL;0.044;22261;505.931.818;22190;14;27;27;3;996.810.566;0.06289026;0.12128835;0.12128835;0.01347648;14745;727.229.569;159.511.699;378.433.367;22010;988.724.675;100.045.434;120.917.304;86.534.177;10.629.843;0;AAR
88;648;STARK;IL;0.017;6534;384.352.941;6496;8;8;21;1;994.184.267;0.12243649;0.12243649;0.32139578;0.01530456;4396;770.245.678;168.789.809;29.799.818;6404;980.104.071;124.609.619;190.391.459;104.477.612;938.748.336;0;AAR
89;649;STEPHENSON;IL;0.033;48052;145.612.121;44524;3081;58;304;85;926.579.539;641.180.388;0.12070257;0.63264796;0.1768917;31555;76.691.491;198.795.753;38.821.106;47225;982.789.478;990.788.777;135.032.583;835.417.318;950.578.339;0;AAR
90;650;TAZEWELL;IL;0.039;123692;317.158.974;122639;186;221;432;214;991.486.919;0.15037351;0.1786696;0.3492546;0.17301038;80310;785.941.975;200.448.263;392.105.591;121970;986.078.324;913.257.358;128.933.916;791.641.669;728.836.792;1;AAU
91;651;UNION;IL;0.024;17619;734.125;17313;122;34;53;97;982.632.385;0.6924343;0.19297349;0.30081162;0.55054203;12092;642.242.805;178.795.898;400.264.638;16823;9.548.215;181.596.624;249.001.996;146.790.039;19.010.096;0;LHR
92;652;VERMILION;IL;0.052;88257;1697.25;78956;7841;165;507;788;894.614.591;888.428.113;0.18695401;0.57445868;0.89284703;58087;72.751.218;170.571.729;406.114.965;85119;964.444.747;152.386.659;225.401.872;130.433.821;114.093.571;0;AAR
93;653;WABASH;IL;0.012;13111;109.258.333;12955;40;11;80;25;988.101.594;0.30508733;0.08389902;0.61017466;0.19067958;8520;74.870.892;247.300.469;392.018.779;12849;98.001.678;129.426.415;170.275.883;115.272.938;113.899.614;0;AAR
94;654;WARREN;IL;0.033;19181;581.242.424;18630;356;20;70;105;971.273.656;185.600.334;0.10426985;0.36494448;0.54741671;12220;76.309.329;204.582.651;457.446.809;18323;955.268.234;142.334.771;189.009.662;128.320.964;117.299.162;0;AAR
95;655;WASHINGTON;IL;0.033;14965;453.484.848;14856;46;31;26;6;992.716.338;0.3073839;0.20715002;0.17373872;0.04009355;9906;657.278.417;159.600.242;244.296.386;14620;976.946.208;928.180.575;981.610.982;766.360.123;123.771.499;0;LAR
96;656;WAYNE;IL;0.042;17241;410.5;17141;9;31;44;16;994.199.872;0.05220115;0.17980396;0.25520561;0.09280204;11613;630.586.412;156.807.027;275.553.259;17054;989.153.761;143.954.497;196.855.936;116.169.183;147.752.126;0;LAR
97;657;WHITE;IL;0.029;16522;569.724.138;16397;41;37;35;12;99.243.433;0.24815398;0.22394383;0.21183876;0.07263043;11451;662.212.907;159.287.398;324.862.457;16152;977.605.617;190.564.636;270.340.525;164.872.384;167.161.961;0;LHR
98;658;WHITESIDE;IL;0.041;60186;146.795.122;57135;417;85;187;2362;949.307.148;0.69285216;0.14122886;0.31070349;392.450.071;39020;732.880.574;165.530.497;354.177.345;58927;979.081.514;109.610.196;147.232.262;950.370.254;98.152.526;0;AAR
99;659;WILL;IL;0.05;357313;7146.26;303420;38361;692;4774;10066;849.171.455;107.359.654;0.19366774;133.608.349;281.713.792;215823;8.043.026;247.568.609;588.723.167;348384;975.010.705;603.472.031;746.308.545;479.919.768;85.633.985;1;HLU
100;660;WILLIAMSON;IL;0.025;57733;2309.32;56135;1147;112;252;87;972.320.856;198.673.203;0.1939965;0.43649213;0.15069371;38733;717.811.685;210.595.616;49.802.494;56318;975.490.621;158.013.424;223.945.816;136.188.171;138.197.853;0;AAR
101;661;Winnebago;IL;0.03;252913;843.043.333;222439;23256;651;2986;3581;879.507.973;919.525.687;0.25740077;118.064.315;141.590.191;163047;762.964.053;22.652.364;51.819.414;248507;98.257.899;1.011.722;145.814.097;822.470.776;962.654.586;1;AAU
102;662;WOODFORD;IL;0.032;32653;102.040.625;32388;64;54;102;45;99.188.436;0.19600037;0.16537531;0.31237559;0.13781276;20469;800.136.792;228.052.176;497.337.437;31693;970.599.945;718.770.706;100.139.231;562.835.021;715.055.695;1;HLU
103;663;ADAMS;IN;0.021;31095;148.071.429;30530;36;42;60;427;981.829.876;0.11577424;0.13506995;0.19295707;137.321.113;18119;743.970.418;161.156.797;486.229.924;30490;980.543.496;116.366.022;171.945.239;910.188.775;871.402.697;1;AAU
104;664;ALLEN;IN;0.041;300836;733.746.341;264086;30314;892;2644;2900;877.840.418;100.765.866;0.29650707;0.87888418;0.96398037;187856;811.552.466;273.597.862;685.950.941;296184;984.536.425;790.353.294;10.533.689;67.890.146;730.149.415;1;HAU
105;665;BARTHOLOMEW;IN;0.022;63657;2893.5;61774;1005;97;610;171;970.419.593;157.877.374;0.15237916;0.95826068;0.26862717;41218;769.032.947;228.468.145;684.409.724;62784;986.285.876;854.517.074;10.736.855;699.242.014;108.119.434;0;AAR
106;666;BENTON;IN;0.024;9441;393.375;9389;6;16;1;29;994.492.109;0.06355259;0.16947357;0.0105921;0.30717085;6053;770.857.426;134.643.978;401.453.825;9300;985.065.141;804.301.075;834.921.845;684.232.894;105.022.831;0;AAR
107;667;BLACKFORD;IN;0.01;14067;1406.7;13978;7;44;16;22;993.673.136;0.04976185;0.3127888;0.11374138;0.1563944;9259;729.884.437;129.819.635;442.812.399;13903;988.341.508;985.398.835;123.237.451;833.224.671;109.375;0;AAR
