county;percother;popadults;perchsd;percollege;percprof;poppovertyknown;percpovertyknown;percbelowpoverty;percchildbelowpovert;percadultpoverty;percelderlypoverty;inmetro;category
JACKSON;0.7319829;32172;78.767.251;366.436.653;140.898.918;54230;888.041.004;2.837.175;263.922.105;324.584.833;138.153.008;0;AHR
JASPER;0.05655575;6835;697.000.732;150.256.035;276.517.922;10511;99.076.256;131.005.613;174.379.611;100.076.104;145.622.525;0;AAR
JEFFERSON;0.14856834;24023;699.038.422;183.698.955;367.980.685;36495;985.818.476;160.569.941;211.134.991;136.358.867;15.631.524;0;AAR
JERSEY;0.1071133;12847;719.156.223;147.583.093;313.691.913;19611;954.817.664;974.453.113;118.255.728;88.343.212;929.971.989;1;AAU
JO DAVIESS;0.11915128;14409;74.092.581;164.133.528;34.284.128;21610;990.330.416;828.782.971;929.164.459;628.398.253;118.393.235;0;AAR
JOHNSON;0.27319996;7922;661.701.591;143.524.363;343.347.639;9180;809.024.412;155.555.556;185.350.603;122.665.006;198.775.318;0;LAR
KANE;746.398.884;191807;777.192.699;275.938.834;701.329.983;310740;978.798.063;684.655.982;959.040.311;555.167.946;631.380.264;1;ALU
KANKAKEE;0.90177134;59821;730.863.744;176.409.622;399.023.754;92594;961.965.612;132.967.579;195.983.276;10.888.062;102.479.647;1;AAU
KENDALL;225.052.648;24175;836.773.526;248.893.485;525.336.091;39199;994.570.319;338.529.044;442.017.237;235.504.872;587.851.078;1;HLU
KNOX;126.788.786;37723;765.660.207;193.436.365;421.228.428;53106;941.712.624;138.684.894;196.733.764;128.831.741;973.871.734;0;AAR
LAKE;332.966.705;318475;847.269.016;378.340.529;114.640.082;495312;959.130.007;515.977.808;676.712.484;419.193.902;616.443.033;1;HLU
LA SALLE;114.672.678;70357;73.127.052;168.995.267;343.817.957;104473;977.177.705;111.014.329;152.417.866;921.209.673;106.971.468;0;AAR
LAWRENCE;0.06260957;10950;692.328.767;145.388.128;194.520.548;15347;960.869.021;198.475.272;311.128.734;167.597.057;148.832.156;0;AHR
LEE;109.036.985;22661;762.808.349;18.476.678;404.218.702;32162;935.159.339;88.240.781;105.378.832;771.542.507;95.268.748;0;AAR
LIVINGSTON;112.465.332;26084;741.450.698;145.031.437;294.816.746;35431;901.529.223;932.516.723;137.011.589;802.005.013;677.040.677;0;AAR
LOGAN;0.33768427;20324;759.004.133;179.492.226;379.846.487;28104;912.526.787;107.813.834;128.258.458;996.479.107;103.613.632;0;AAR
MCDONOUGH;0.37169447;18784;80.302.385;279.280.239;103.598.807;28821;817.756.214;190.520.801;160.093.168;224.033.816;128.843.841;0;HHR
MCHENRY;133.376.264;114721;845.076.316;280.541.488;641.730.808;181636;991.241.043;349.159.858;406.964.667;287.024.568;50.644.731;1;HLU
MCLEAN;0.5674253;72957;84.671.793;338.185.507;900.393.382;117663;910.845.332;118.754.409;100.105.088;13.715.404;72.666.025;1;HAU
MACON;0.18002491;76297;762.113.845;198.618.556;498.446.859;114042;973.004.795;127.417.969;192.574.786;109.095.835;898.486.907;1;AAU
MACOUPIN;0.08599174;31217;728.192.972;140.083.929;32.546.369;46387;972.902.116;132.127.536;185.988.943;108.171.077;12.460.907;0;AAR
MADISON;0.31375633;161517;758.143.106;196.994.744;494.932.422;245370;984.480.697;113.387.945;166.709.192;990.305.061;829.181.097;1;AAU
MARION;0.13714781;27077;701.259.371;164.493.851;331.277.468;40800;981.689.565;163.676.471;223.493.101;139.285.714;147.224.835;0;AAR
MARSHALL;0.14790596;8600;777.790.698;175.348.837;256.976.744;12563;977.969.796;938.470.111;114.717.933;750.307.503;113.305.613;0;AAR
MASON;0.09834655;10729;725.789.915;135.054.525;28.986.858;16025;985.002.151;155.070.203;241.131.352;128.400.955;116.038.007;0;AAR
MASSAC;0.06778742;10068;653.059.197;14.034.565;293.007.549;14348;972.613.883;167.410.092;229.808.251;149.682.372;143.283.582;0;LAR
MENARD;0.09853099;7390;773.071.719;18.511.502;351.826.793;10964;982.085.274;955.855.527;124.503.311;789.163.722;101.449.275;1;AAU
MERCER;0.21399653;11357;773.531.743;164.744.211;311.702.034;17006;98.357.432;101.317.182;114.663.727;901.086.957;114.338.123;0;AAR
MONROE;0.1650165;14613;758.639.568;199.206.186;331.896.257;22071;984.345.732;481.174.392;477.462.437;421.197.857;683.692.471;1;ALU
MONTGOMERY;0.31892736;20386;721.917.002;11.723.732;25.262.435;29003;943.862.275;140.295.831;177.958.446;122.912.264;134.700.076;0;AAR
MORGAN;0.40662692;23605;759.034.103;207.244.228;565.981.784;33746;927.164.327;111.954.009;123.290.901;101.418.555;126.183.885;0;AAR
MOULTRIE;0.02153625;9282;702.865.762;157.185.951;299.504.417;13356;95.879.397;113.432.165;152.669.633;910.269.336;11.856.585;0;AAR
OGLE;168.200.709;29575;77.602.705;187.793.745;347.252.747;45229;984.159.105;724.535.143;854.618.474;626.131.745;828.708.375;1;ALU
PEORIA;0.60166168;115963;779.326.164;25.838.414;659.003.303;176647;966.197.553;145.278.437;218.711.768;124.275.854;103.180.428;1;AAU
PERRY;0.1074164;13921;67.839.954;135.622.441;220.530.134;21090;984.961.704;158.368.895;208.596.713;133.475.898;158.660.508;0;LAR
PIATT;0.03215848;10458;82.950.851;22.011.857;519.219.736;15315;98.501.415;613.124.388;706.766.917;461.225.953;916.779.432;0;HLR
PIKE;0.07964954;11820;69.856.176;121.742.809;230.964.467;17365;987.938.784;179.326.231;233.325.587;150.834.773;182.773.589;0;AHR
POPE;0.32014635;2821;651.542.006;142.502.659;248.138.958;4160;951.292.019;251.682.692;364.729.459;244.148.692;153.611.394;0;LHR
PULASKI;0.13292569;4816;597.799.003;143.687.708;220.099.668;7441;989.100.093;30.184.115;400.374.181;23.867.741;311.619.718;0;LHR
PUTNAM;158.813.264;3783;758.128.469;165.212.794;343.642.612;5722;998.603.839;754.980.776;104.780.616;622.734.761;715.517.241;0;AAR
RANDOLPH;0.17927884;22847;642.228.739;127.412.789;295.881.297;30685;887.285.661;110.021.183;142.925.089;899.560.578;11.678.487;0;LAR
RICHLAND;0.11483832;10917;734.908.858;215.077.402;362.737.016;16228;980.840.133;139.758.442;186.600.613;120.681.606;1.294.943;0;AAR
ROCK ISLAND;231.033.532;96715;773.747.609;213.007.289;449.775.112;144662;972.694.203;131.845.267;19.375;117.520.934;905.748.897;1;AAU
ST CLAIR;0.42571485;162550;725.868.963;21.184.251;538.911.104;257438;979.402.858;1.743.177;267.291.879;142.654.008;118.686.334;1;AAU
SALINE;0.23351286;18020;632.241.953;154.883.463;363.485.017;25545;962.110.655;20.183.989;266.991.079;186.944.068;168.465.816;0;LHR
SANGAMON;0.19171908;117686;817.709.838;289.881.549;8.169.196;175796;985.480.923;988.816.583;137.008.576;821.267.648;976.442.912;1;HAU
SCHUYLER;0.02667378;5090;69.410.609;146.365.422;275.049.116;7365;982.261.937;16.496.945;219.134.153;136.461.126;167.800.454;0;AAR
SCOTT;0;3732;736.066.452;130.760.986;225.080.386;5578;988.306.166;115.274.292;142.564.802;937.067.773;133.606.557;0;AAR
SHELBY;0.01347648;14745;727.229.569;159.511.699;378.433.367;22010;988.724.675;100.045.434;120.917.304;86.534.177;10.629.843;0;AAR
STARK;0.01530456;4396;770.245.678;168.789.809;29.799.818;6404;980.104.071;124.609.619;190.391.459;104.477.612;938.748.336;0;AAR
STEPHENSON;0.1768917;31555;76.691.491;198.795.753;38.821.106;47225;982.789.478;990.788.777;135.032.583;835.417.318;950.578.339;0;AAR
TAZEWELL;0.17301038;80310;785.941.975;200.448.263;392.105.591;121970;986.078.324;913.257.358;128.933.916;791.641.669;728.836.792;1;AAU
UNION;0.55054203;12092;642.242.805;178.795.898;400.264.638;16823;9.548.215;181.596.624;249.001.996;146.790.039;19.010.096;0;LHR
VERMILION;0.89284703;58087;72.751.218;170.571.729;406.114.965;85119;964.444.747;152.386.659;225.401.872;130.433.821;114.093.571;0;AAR
WABASH;0.19067958;8520;74.870.892;247.300.469;392.018.779;12849;98.001.678;129.426.415;170.275.883;115.272.938;113.899.614;0;AAR
WARREN;0.54741671;12220;76.309.329;204.582.651;457.446.809;18323;955.268.234;142.334.771;189.009.662;128.320.964;117.299.162;0;AAR
WASHINGTON;0.04009355;9906;657.278.417;159.600.242;244.296.386;14620;976.946.208;928.180.575;981.610.982;766.360.123;123.771.499;0;LAR
WAYNE;0.09280204;11613;630.586.412;156.807.027;275.553.259;17054;989.153.761;143.954.497;196.855.936;116.169.183;147.752.126;0;LAR
WHITE;0.07263043;11451;662.212.907;159.287.398;324.862.457;16152;977.605.617;190.564.636;270.340.525;164.872.384;167.161.961;0;LHR
WHITESIDE;392.450.071;39020;732.880.574;165.530.497;354.177.345;58927;979.081.514;109.610.196;147.232.262;950.370.254;98.152.526;0;AAR
WILL;281.713.792;215823;8.043.026;247.568.609;588.723.167;348384;975.010.705;603.472.031;746.308.545;479.919.768;85.633.985;1;HLU
WILLIAMSON;0.15069371;38733;717.811.685;210.595.616;49.802.494;56318;975.490.621;158.013.424;223.945.816;136.188.171;138.197.853;0;AAR
Winnebago;141.590.191;163047;762.964.053;22.652.364;51.819.414;248507;98.257.899;1.011.722;145.814.097;822.470.776;962.654.586;1;AAU
WOODFORD;0.13781276;20469;800.136.792;228.052.176;497.337.437;31693;970.599.945;718.770.706;100.139.231;562.835.021;715.055.695;1;HLU
ADAMS;137.321.113;18119;743.970.418;161.156.797;486.229.924;30490;980.543.496;116.366.022;171.945.239;910.188.775;871.402.697;1;AAU
ALLEN;0.96398037;187856;811.552.466;273.597.862;685.950.941;296184;984.536.425;790.353.294;10.533.689;67.890.146;730.149.415;1;HAU
BARTHOLOMEW;0.26862717;41218;769.032.947;228.468.145;684.409.724;62784;986.285.876;854.517.074;10.736.855;699.242.014;108.119.434;0;AAR
BENTON;0.30717085;6053;770.857.426;134.643.978;401.453.825;9300;985.065.141;804.301.075;834.921.845;684.232.894;105.022.831;0;AAR
BLACKFORD;0.1563944;9259;729.884.437;129.819.635;442.812.399;13903;988.341.508;985.398.835;123.237.451;833.224.671;109.375;0;AAR
BOONE;0.17301492;24915;824.683.925;278.306.241;881.396.749;37402;980.470.286;629.645.474;802.175.391;523.959.855;708.942.537;1;HLU
BROWN;0.24147727;9510;764.353.312;198.002.103;616.193.481;13948;990.625;686.836.822;809.384.164;616.327.041;744.387.554;0;ALR
CARROLL;0.23924717;12241;761.702.475;154.562.536;379.870.926;18498;983.465.362;749.270.191;938.326.888;563.980.573;101.830.664;0;AAR
CASS;0.17181683;25123;758.906.182;132.149.823;402.420.093;37306;971.181.631;103.468.611;133.524.412;947.268.075;855.725.506;0;AAR
CLARK;0.27000239;56970;727.575.917;168.123.574;405.476.567;86270;982.831.493;100.649.125;13.752.694;818.791.412;109.526.235;1;AAU
CLAY;0.05666869;16197;75.884.423;141.137.248;429.709.205;24343;985.347.096;118.432.404;151.636.813;970.500.549;129.662.175;1;AAU
CLINTON;0.54561891;19875;761.610.063;16.045.283;45.081.761;30143;973.171.047;94.051.687;117.393.903;780.756.609;105.207.037;1;AAU
CRAWFORD;0;6297;595.680.483;854.375.099;293.790.694;9780;98.648.376;184.662.577;22.923.588;143.980.528;240.462.428;0;LHR
DAVIESS;0.05811208;17267;662.187.989;132.391.267;335.900.851;26896;976.864.127;155.413.444;207.750.953;123.878.965;159.292.035;0;LAR
DEARBORN;0.03862495;24335;734.785.289;155.742.757;424.491.473;38254;985.039.269;848.015.894;107.832.521;71.425.195;894.133.289;1;AAU
DECATUR;0.05920914;14625;723.350.427;139.213.675;456.068.376;23245;983.083.104;906.431.491;11.116.045;766.800.916;100.627.287;0;AAR
DE KALB;0.28026271;21801;775.469.015;15.581.854;445.392.413;34833;986.100.102;645.652.112;876.933.688;493.601.463;747.427.333;1;ALU
DELAWARE;0.28831931;70609;744.664.278;211.970.145;838.844.906;111645;93.302.635;167.477.272;17.661.107;178.898.595;117.679.641;1;AAU
DUBOIS;0.08739349;22921;722.307.055;171.676.628;447.188.168;35883;979.981.429;613.661.065;550.713.154;441.161.892;134.687.333;0;ALR
ELKHART;0.72792225;96003;728.060.581;183.723.425;536.649.896;152953;979.225.086;704.203.252;986.358.867;580.470.664;630.558.874;1;ALU
FAYETTE;0.04612723;16744;639.094.601;114.249.881;378.643.096;25571;982.932.923;107.856.556;146.890.163;884.701.144;108.691.186;0;LAR
FLOYD;0.12421589;41499;732.234.512;205.498.928;640.015.422;63308;982.982.423;110.080.874;160.648.533;819.145.697;126.123.514;1;AAU
FOUNTAIN;0.1460018;11700;72.965.812;111.452.991;329.059.829;17573;986.803.684;983.895.749;131.136.951;704.975.016;126.510.878;0;AAR
FRANKLIN;0.06639428;12029;652.672.708;129.935.988;354.975.476;19375;989.530.133;106.270.968;126.787.252;836.868.492;142.276.423;0;LAR
FULTON;0.27070064;12405;753.164.047;13.929.867;415.961.306;18611;987.845.011;103.379.722;128.706.879;91.876.013;100.211.528;0;AAR
GIBSON;0.09087206;20949;728.053.845;1.550.432;350.852.069;31364;982.796.979;963.843.897;111.341.717;794.889.993;122.426.177;0;AAR
GRANT;0.85480457;47541;717.570.097;155.381.671;548.579.121;70618;952.122.855;130.816.506;182.321.973;116.630.942;102.415.235;0;AAR
GREENE;0.13153568;20124;715.861.658;149.522.958;435.301.133;29957;985.103.584;131.788.897;182.160.478;114.086.437;115.055.672;0;AAR
HAMILTON;0.13126974;69127;886.961.679;421.311.499;120.893.428;107945;990.902.915;359.164.389;425.498.008;292.675.381;545.073.375;1;HLU
HANCOCK;0.16473741;29024;801.095.645;204.899.394;660.832.415;44988;988.160.872;446.341.247;562.774.014;350.094.256;607.751.938;1;HLU
HARRISON;0.10371362;18829;711.243.295;131.074.407;383.982.155;29559;988.926.062;983.118.509;1.258.419;753.536.948;129.673.655;1;AAU
HENDRICKS;0.1069773;48047;840.656.024;242.200.345;715.965.617;73207;966.850.245;366.904.804;422.803.082;284.384.454;613.503.237;1;HLU
HENRY;0.13087102;31989;71.374.535;132.576.823;441.714.339;47341;983.423.004;123.508.164;172.683.924;106.034.222;110.881.168;0;AAR
HOWARD;0.40333057;52042;78.453.941;202.298.144;575.881.019;79738;986.526.779;115.152.123;169.615.277;959.316.926;926.146.753;1;AAU
HUNTINGTON;0.21452564;22188;785.559.762;169.731.386;484.946.818;34397;97.092.613;656.452.598;73.208.402;538.424.668;907.244.414;1;ALU
JACKSON;0.12721972;24151;693.263.219;131.423.129;382.592.853;37228;986.694.938;104.921.027;135.361.596;864.372.075;115.976.685;0;AAR
JASPER;0.36057692;14984;755.205.553;148.558.462;523.224.773;23850;955.528.846;79.706.499;10.070.028;637.300.843;937.019.969;0;AAR
JAY;0.32539978;13843;688.795.781;12.771.798;443.545.474;21179;984.520.268;974.078.096;118.595.994;839.788.732;105.313.547;0;AAR
JEFFERSON;0.24499111;18876;70.285.018;175.460.903;550.434.414;27849;934.624.291;1.163.417;156.190.216;961.010.784;121.604.938;0;AAR
JENNINGS;0.09720637;14942;640.811.136;101.458.975;338.642.752;22854;965.893.242;128.030.104;16.947.001;103.086.514;147.733.961;0;LAR
JOHNSON;0.15435427;55137;804.069.862;22.308.069;624.988.665;85547;97.092.238;690.263.832;875.542.692;576.260.508;817.939.609;1;HLU
KNOX;0.11031993;24740;745.028.294;199.757.478;529.506.871;37005;927.815.665;156.978.787;198.819.543;14.454.248;139.807.342;0;AAR
KOSCIUSKO;0.7458572;40321;77.475.757;192.629.151;591.751.197;64110;981.866.634;664.170.956;82.147.651;532.189.084;834.152.093;0;ALR
LAGRANGE;0.42745191;16100;566.521.739;111.118.012;346.583.851;28954;982.257.353;115.079.091;159.615.575;796.751.242;134.746.404;0;LAR
LAKE;442.940.828;298552;73.478.322;176.686.138;493.917.308;469774;987.762.672;138.051.489;215.110.371;110.934.323;995.578.032;1;AAU
LA PORTE;0.4763417;70102;739.080.197;171.792.531;487.860.546;100574;939.364.504;100.542.884;146.622.858;853.452.003;791.819.325;0;AAR
LAWRENCE;0.06069661;28005;697.089.805;131.476.522;384.931.262;42152;984.032.123;972.195.863;125.923.191;786.502.438;112.748.803;0;AAR
MADISON;0.26861765;84886;734.502.745;16.401.998;507.268.572;125156;957.809.427;127.249.193;198.256.124;105.838.631;94.521.245;1;AAU
MARION;0.40004566;511309;768.046.328;267.446.886;768.654.571;780649;97.928.895;12.058.044;181.554.118;976.327.509;107.259.641;1;AAU
MARSHALL;0.88900479;26511;739.692.958;177.775.263;535.249.519;41497;983.760.846;754.512.374;99.233.426;589.902.569;881.351.121;0;AAR
MARTIN;0.07715305;6625;644.075.472;135.396.226;338.113.208;10211;984.762.272;138.478.112;179.383.712;113.361.763;15.455.035;0;LAR
MIAMI;0.55018023;22509;764.272.069;144.075.703;388.733.396;35971;974.903.109;109.393.678;152.701.644;926.941.094;905.255.757;0;AAR
MONROE;0.42393878;57368;821.032.631;377.422.954;172.012.272;93693;859.742.333;194.390.189;143.463.367;229.989.983;95.751.634;1;HHU
MONTGOMERY;0.16842839;22174;800.487.057;169.252.277;580.860.467;33157;962.858.636;939.771.391;118.232.951;765.231.519;112.698.928;0;HAR
MORGAN;0.08583691;35089;735.786.144;146.798.142;443.443.814;55262;98.823.319;667.728.276;836.697.487;518.163.722;953.302.374;1;ALU
NEWTON;0.31731975;8567;724.407.611;121.746.236;318.664.643;13310;982.215.335;88.580.015;126.107.348;711.798.301;802.442.215;0;AAR
NOBLE;0.48050268;23151;720.832.793;126.387.629;35.592.415;37198;982.073.554;804.881.983;116.240.876;600.627.082;847.923.103;0;AAR
OHIO;0.03762935;3457;677.176.743;107.029.216;179.346.254;5271;991.721.543;988.427.243;862.688.713;858.398.107;159.609.121;1;LAU
ORANGE;0.043457;11902;649.302.638;978.827.088;283.985.885;18103;983.377.696;153.455.228;19.423.275;127.880.658;167.800.454;0;LAR
OWEN;0.03472021;11151;662.720.832;111.649.179;325.531.342;17046;98.640.125;135.515.663;179.775.281;111.626.436;144.039.735;0;LAR
PARKE;0.07787151;10217;767.348.537;146.129.001;431.633.552;14849;963.595.068;121.961.075;130.620.985;103.266.992;159.411.012;0;AAR
PERRY;0.07327158;12271;653.573.466;110.422.948;290.929.835;18163;950.594.023;116.225.293;141.656.417;928.652.322;145.016.797;0;LAR
PIKE;0.01598849;8387;65.482.294;13.842.852;389.889.114;12357;987.848.749;132.637.372;198.807.157;105.921.723;126.115.166;0;LAR
PORTER;0.74612974;79625;824.075.353;24.455.887;783.924.647;125118;970.418.515;611.662.591;748.438.387;548.997.025;597.111.701;1;HLU
POSEY;0.09627234;16513;762.974.626;172.106.825;459.032.278;25679;988.870.918;762.490.751;89.456.869;592.997.509;113.455.809;1;AAU
PULASKI;0.22146642;7974;718.961.625;141.710.559;351.141.209;12467;986.079.253;108.285.875;136.955.919;891.951.838;114.992.151;0;AAR
PUTNAM;0.20451921;18437;760.535.879;15.734.664;55.811.683;26072;860.036.286;827.324.333;107.356.154;672.192.811;937.950.938;0;AAR
RANDOLPH;0.21732724;17694;718.548.661;126.200.972;453.826.156;26789;98.677.619;113.516.742;157.303.371;968.322.036;101.874.188;0;AAR
RIPLEY;0.06906077;15331;688.148.196;135.281.456;399.191.181;24262;98.561.911;10.547.358;129.624.319;824.702.723;136.374.324;0;AAR
RUSH;0.06067626;11404;735.882.147;128.463.697;389.337.075;17589;97.021.347;111.774.404;134.143.785;950.972.105;127.012.522;0;AAR
ST JOSEPH;102.205.204;154443;760.630.135;24.611.669;810.007.576;234575;949.496.462;965.490.781;138.132.517;819.188.249;814.209.511;1;AAU
SCOTT;0.23819732;13060;59.992.343;105.895.865;327.718.224;20636;98.308.799;189.813.917;268.822.813;158.872.136;160.839.161;1;LHU
SHELBY;0.06202397;25585;741.254.641;147.000.195;370.529.607;39745;986.057.012;723.109.825;941.501.612;543.236.263;982.587.065;1;ALU
SPENCER;0.07183171;12509;719.242.146;141.338.236;444.479.974;19102;980.092.355;985.760.653;107.415.902;80.898.243;142.547.258;0;AAR
STARKE;0.41324131;14260;599.158.485;100.140.252;300.841.515;22293;980.041.324;13.425.739;185.185.185;118.391.095;102.341.299;0;LAR
STEUBEN;0.19310646;17256;789.986.092;186.080.204;544.738.062;26541;96.702.616;563.279.454;503.225.806;517.698.213;788.116.361;0;ALR
SULLIVAN;0.10003686;12602;740.676.083;154.816.696;412.632.915;18678;983.414.942;125.120.463;154.133.002;967.541.222;156.844.106;0;AAR
SWITZERLAND;0.02584647;5015;658.025.922;947.158.524;317.048.853;7589;980.744.378;152.193.965;203.518.783;11.365.332;184.300.341;0;LAR
TIPPECANOE;0.60031547;69148;851.781.686;362.454.446;152.571.296;114062;873.382.441;143.816.521;105.675.147;171.884.131;786.494.538;1;HAU
TIPTON;0.29778522;10511;770.335.839;154.219.389;487.108.743;15933;988.460.823;643.946.526;811.649.558;504.670.768;819.285.233;1;ALU
UNION;0.07167431;4397;712.531.271;126.449.852;391.175.802;6836;979.931.193;947.922.762;115.527.292;766.578.249;119.592.875;0;AAR
VANDERBURGH;0.13995081;109217;752.044.096;217.585.174;647.426.683;160427;971.943.196;124.767.028;17.096.145;108.453.217;114.168.894;1;AAU
VERMILLION;0.0476957;11163;720.594.822;122.726.866;352.951.715;16494;983.366.124;116.709.106;147.683.398;987.012.987;125.608.011;1;AAU
VIGO;0.30346725;66140;759.842.758;227.230.118;87.526.459;97228;916.320.318;146.943.267;185.088.374;137.729.456;125.077.272;1;AAU
WABASH;0.24808235;22008;743.865.867;160.805.162;498.455.107;33017;941.486.783;91.922.343;104.414.545;893.758.669;808.468.078;0;AAR
WARREN;0.03669276;5403;716.083.657;13.399.963;303.535.073;8075;987.646.771;916.408.669;111.265.647;732.876.712;116.384.915;0;AAR
WARRICK;0.0779163;28368;801.254.935;238.155.668;585.166.385;44151;982.880.677;658.195.737;866.166.853;520.934.196;8.198.136;1;HLU
WASHINGTON;0.09697685;14989;661.685.236;108.145.974;288.211.355;23390;986.212.421;14.296.708;180.585.852;115.780.578;171.385.238;0;LAR
WAYNE;0.24322108;46603;712.443.405;155.891.252;513.486.256;69370;964.128.365;148.926.049;208.136.394;132.868.788;116.376.769;0;AAR
